"Product","Assessor","Liking"
1,1,8
2,1,9
3,1,7
4,1,6
5,1,6
6,1,8
1,2,7
2,2,6
3,2,7
4,2,7
5,2,5
6,2,7
1,3,9
2,3,9
3,3,8
4,3,6
5,3,8
6,3,8
1,4,7
2,4,5
3,4,6
4,4,9
5,4,9
6,4,4
1,5,9
2,5,9
3,5,7
4,5,9
5,5,8
6,5,8
1,6,5
2,6,6
3,6,9
4,6,9
5,6,8
6,6,7
1,7,9
2,7,8
3,7,7
4,7,8
5,7,8
6,7,7
1,8,7
2,8,7
3,8,8
4,8,8
5,8,8
6,8,7
1,9,8
2,9,6
3,9,8
4,9,7
5,9,9
6,9,8
1,10,7
2,10,8
3,10,8
4,10,9
5,10,6
6,10,7
1,11,9
2,11,8
3,11,7
4,11,8
5,11,9
6,11,7
1,12,9
2,12,9
3,12,9
4,12,7
5,12,9
6,12,9
1,13,9
2,13,8
3,13,7
4,13,8
5,13,7
6,13,9
1,14,7
2,14,8
3,14,8
4,14,9
5,14,7
6,14,9
1,15,8
2,15,7
3,15,5
4,15,6
5,15,6
6,15,8
1,16,8
2,16,9
3,16,7
4,16,9
5,16,7
6,16,8
1,17,9
2,17,8
3,17,7
4,17,7
5,17,9
6,17,7
1,18,7
2,18,5
3,18,7
4,18,6
5,18,6
6,18,9
1,19,7
2,19,8
3,19,6
4,19,8
5,19,8
6,19,5
1,20,9
2,20,8
3,20,7
4,20,5
5,20,9
6,20,7
